,pH,Sodium,Magnesium,Calcium,Chloride,Potassium,Carbonate,Sulphate,TDS,EC,TH,WQI,label
259,7.45,0.0,22.0,0.0,30.0,5.0,71.0,32.0,0.0,339.0,102.0,24.39,0
260,7.34,25.0,6.6,0.0,34.0,5.0,86.0,47.0,0.0,399.8,116.0,24.45,0
261,7.94,28.0,5.7,0.0,56.0,6.0,103.0,51.0,0.0,456.5,149.0,28.56,0
262,7.09,38.0,2.4,0.0,48.0,5.0,109.0,59.0,0.0,498.8,156.0,27.47,0
263,7.98,42.0,44.0,0.0,50.0,5.4,116.0,53.0,0.0,534.0,185.0,37.69,0
264,8.41,42.0,100.0,0.0,55.0,6.0,123.0,53.0,0.0,540.0,174.0,48.9,0
265,8.11,46.0,50.0,0.0,61.0,6.3,117.0,70.0,0.0,571.6,165.0,40.05,0
266,8.13,54.0,48.0,0.0,64.0,7.5,120.0,68.0,0.0,612.0,139.0,40.6,0
267,7.94,52.0,2.4,0.0,66.0,7.9,121.0,72.0,0.0,620.7,189.0,34.08,0
268,8.33,60.0,81.0,0.0,80.0,7.8,113.0,78.0,0.0,606.4,121.0,47.06,0
269,8.36,50.0,37.0,0.0,78.0,8.3,110.0,83.0,0.0,629.0,145.0,39.75,0
270,8.43,52.0,22.0,0.0,82.0,8.9,93.0,78.0,0.0,661.8,156.0,37.4,0
271,8.25,64.0,29.0,0.0,78.0,10.4,111.0,81.0,0.0,689.6,165.0,41.36,0
272,8.28,55.0,23.0,0.0,97.0,8.7,126.0,86.0,0.0,715.8,180.0,40.55,0
273,8.77,73.0,6.4,0.0,91.0,9.6,123.0,94.0,0.0,721.0,192.0,39.71,0
274,8.95,52.0,76.0,0.0,82.0,7.8,131.0,79.0,0.0,733.8,214.0,50.76,0
275,8.94,31.8,19.4,31.2,29.9,3.0,125.9,32.0,0.0,431.0,157.7,33.7,0
276,9.11,30.0,20.3,32.2,30.6,4.8,145.1,30.0,0.0,448.0,164.1,36.57,0
277,8.3,33.7,20.1,32.0,33.1,5.4,128.0,45.0,0.0,472.0,162.8,36.03,0
278,9.01,32.3,20.7,33.4,31.9,5.3,136.9,45.8,0.0,469.0,168.6,37.38,0
279,8.69,33.6,19.4,32.1,29.9,5.8,149.4,45.4,0.0,492.0,165.1,37.64,0
280,8.69,23.6,17.3,29.7,33.6,9.8,108.3,23.0,0.0,485.0,145.5,36.75,0
281,8.9,31.1,17.2,27.6,30.9,5.0,84.7,40.9,0.0,468.0,139.8,32.28,0
282,8.78,33.3,17.9,24.9,34.8,5.5,111.4,34.2,0.0,425.0,136.3,33.32,0
283,8.6,33.3,16.0,19.8,34.1,5.5,79.0,35.9,0.0,368.0,0.1,26.3,0
284,8.97,33.3,17.0,19.6,37.0,5.4,81.8,35.3,0.0,395.0,0.1,27.07,0
285,9.42,32.0,15.0,22.0,38.9,6.5,73.72,41.66,0.0,400.0,117.39,31.58,0
286,9.4,33.0,16.0,24.26,45.0,6.8,100.45,45.1,0.0,419.5,126.55,34.14,0
287,8.69,33.0,16.0,25.0,45.0,6.8,139.5,45.1,0.0,427.0,129.04,35.45,0
288,9.2,38.0,18.6,28.4,42.9,7.5,128.45,39.6,0.0,444.6,148.36,37.59,0
289,8.77,40.0,20.42,29.98,42.3,7.6,132.56,45.77,0.0,465.0,159.89,38.61,0
290,8.07,44.55,18.79,28.1,38.6,7.05,130.58,39.61,0.0,446.0,148.38,36.46,0
291,8.77,35.37,17.92,29.43,40.0,6.21,127.37,47.42,0.0,441.6,148.07,36.07,0
292,8.2,34.31,16.05,25.85,41.4,6.51,141.55,27.65,0.0,466.0,131.37,34.89,0
293,8.62,32.13,0.01,27.85,36.6,5.44,137.84,30.0,0.0,444.4,141.62,31.63,0
294,8.19,33.38,17.62,24.46,35.8,6.15,120.08,28.0,0.0,419.7,134.46,33.39,0
295,8.28,32.0,16.5,17.75,30.2,6.4,103.8,35.0,0.0,387.0,113.04,30.98,0
296,7.95,30.0,17.0,18.5,22.1,6.0,114.43,35.0,0.0,404.5,116.99,30.91,0
297,6.96,35.0,18.75,22.0,34.9,6.8,118.04,40.0,0.0,427.6,133.02,32.81,0
298,8.28,35.0,19.22,24.99,34.9,6.8,121.44,37.0,0.0,455.0,142.43,35.03,0
299,8.28,35.0,19.22,24.99,34.9,6.8,121.44,30.0,0.0,455.0,142.43,34.9,0
300,8.08,35.0,18.15,29.57,34.9,6.8,127.32,37.0,0.0,480.0,149.4,35.81,0
301,8.19,35.0,17.0,30.0,39.8,6.8,138.21,35.0,0.0,508.3,145.68,36.4,0
302,8.25,41.0,14.71,19.9,56.0,7.8,128.02,50.0,0.0,523.5,110.94,35.18,0
303,8.53,39.55,14.82,27.03,52.5,7.5,131.15,44.0,0.0,487.2,129.18,36.32,0
304,8.57,39.55,14.71,24.57,52.0,7.5,116.0,39.9,0.0,481.0,122.59,35.03,0
305,8.41,29.61,13.04,19.57,34.61,5.85,112.65,22.73,0.0,433.2,103.14,30.43,0
306,8.32,31.0,51.33,22.33,35.46,6.5,73.33,32.65,0.0,380.0,114.06,36.66,0
307,8.2,25.0,12.75,20.5,28.55,6.0,86.0,28.37,0.0,314.8,104.27,28.3,0
308,8.14,16.09,12.55,21.97,15.46,4.12,97.07,27.54,0.0,312.7,107.1,26.73,0
309,8.3,19.3,12.64,20.53,27.13,4.31,108.57,37.52,0.0,371.8,103.9,28.28,0
310,8.19,26.81,15.73,27.61,25.86,5.64,167.25,59.0,0.0,432.0,134.43,35.22,0
311,7.87,26.94,13.71,31.1,29.66,4.35,128.64,32.64,0.0,468.0,134.72,32.08,0
312,8.26,26.94,15.18,23.63,29.66,4.35,130.01,0.0,0.0,468.5,122.17,30.9,0
313,8.28,33.83,16.91,34.39,25.57,6.9,136.13,35.47,0.0,486.2,156.25,36.71,0
314,8.16,39.33,17.58,35.88,25.0,8.1,149.48,53.46,0.0,512.5,162.76,39.31,0
315,8.61,39.33,15.0,31.67,29.24,8.1,148.55,49.39,0.0,513.5,162.76,38.77,0
316,8.89,39.33,13.77,23.98,25.0,8.1,134.68,47.81,0.0,478.0,117.21,35.52,0
317,8.73,34.0,15.64,25.37,43.29,7.5,115.91,40.36,0.0,416.8,128.46,34.76,0
318,8.91,26.0,22.28,23.93,30.39,5.6,111.24,29.72,0.0,374.6,152.55,33.87,0
319,9.16,26.0,17.54,24.44,36.01,5.6,129.75,33.67,0.0,396.4,134.09,33.94,0
320,8.59,42.67,15.54,27.78,40.09,5.62,144.31,33.95,0.0,425.0,134.08,35.17,0
321,8.46,42.6,17.65,30.11,39.37,5.62,132.68,35.33,0.0,451.7,148.67,35.77,0
322,7.95,50.0,18.0,31.03,40.68,5.62,141.48,37.01,0.0,475.0,148.67,36.4,0
323,8.3,42.67,20.0,35.66,40.68,5.62,150.41,40.2,0.0,501.3,148.67,37.92,0
324,8.41,42.0,21.56,30.71,44.23,7.8,206.28,36.37,0.0,513.4,165.96,42.5,0
325,8.23,48.97,21.24,35.0,58.94,8.75,139.19,37.79,0.0,522.5,165.96,41.3,0
326,8.21,39.27,48.78,26.78,59.74,8.01,140.53,54.63,0.0,546.3,164.01,44.75,0
327,8.66,39.27,16.27,32.74,48.32,8.01,146.77,46.89,0.0,581.2,149.48,39.52,0
328,8.82,41.09,15.66,32.92,52.27,8.61,144.76,47.36,0.0,578.0,147.37,40.08,0
329,9.03,43.41,16.18,27.7,50.74,9.19,126.42,52.8,0.0,544.2,136.5,38.99,0
330,8.55,43.21,13.16,23.18,44.37,10.16,135.85,45.1,0.0,484.0,112.67,37.22,0
331,8.1,46.51,14.54,25.24,47.19,12.19,107.59,45.14,0.0,430.5,123.54,37.83,0
332,8.21,39.27,48.78,26.78,59.74,9.0,140.53,53.2,0.0,495.0,164.01,45.2,0
333,8.36,29.15,15.84,27.91,43.35,5.11,178.1,41.2,0.0,475.6,135.63,36.11,0
334,8.19,27.0,15.69,28.73,44.16,5.11,166.04,43.52,0.0,485.8,137.05,35.54,0
335,8.11,28.0,15.69,43.0,40.9,5.11,132.0,50.0,0.0,536.0,140.9,36.09,0
336,8.19,30.33,15.69,27.5,48.0,10.0,141.0,51.1,0.0,540.3,150.0,39.04,0
337,8.11,51.0,15.69,31.3,47.0,11.0,142.0,45.0,0.0,520.3,145.0,40.77,0
338,7.62,0.0,15.69,28.7,42.0,0.0,140.0,42.0,0.0,555.0,159.0,29.66,0
339,7.48,0.0,15.69,29.5,50.0,10.0,140.0,39.0,0.0,517.5,137.0,36.52,0
340,7.67,0.0,15.0,28.0,42.0,9.3,123.0,39.0,0.0,471.7,132.0,34.45,0
341,7.79,44.0,15.0,28.0,40.0,9.4,139.0,19.0,0.0,440.4,133.0,36.8,0
342,8.18,36.0,14.0,26.0,36.0,8.0,112.0,29.0,0.0,409.5,121.0,33.63,0
343,8.25,27.0,12.0,23.0,29.0,6.0,99.1,18.0,0.0,391.5,106.0,29.49,0
344,7.94,33.0,14.0,25.0,33.0,6.0,104.0,24.0,0.0,409.0,121.0,31.08,0
345,8.81,33.0,14.0,26.0,36.0,8.0,109.0,37.0,0.0,448.5,123.0,34.36,0
346,8.53,35.0,16.0,23.3,40.0,11.0,112.0,40.0,0.0,476.0,111.0,36.59,0
347,8.22,43.0,15.0,28.0,43.0,7.0,118.0,37.0,0.0,499.8,133.0,35.13,0
348,8.04,46.0,18.0,33.0,44.0,8.1,127.0,29.0,0.0,537.8,160.0,38.39,0
349,7.86,46.0,16.0,30.5,45.0,9.0,131.0,30.0,0.0,522.7,142.0,37.84,0
350,7.95,45.0,16.0,28.5,47.0,12.0,129.0,43.0,0.0,518.0,136.0,39.91,0
351,8.58,52.0,13.0,22.0,50.0,11.6,126.0,40.0,0.0,517.0,107.0,38.2,0
352,7.79,44.0,15.0,27.2,43.0,11.8,115.0,1.6,0.0,502.5,131.0,37.48,0
353,7.71,46.0,11.0,21.8,49.0,11.6,129.0,40.0,0.0,498.6,102.0,36.58,0
354,7.89,39.0,14.0,24.6,44.0,8.4,127.0,43.0,0.0,473.8,119.0,35.09,0
355,8.27,35.0,15.0,27.3,45.0,10.8,121.0,39.0,0.0,413.8,131.0,37.32,0
356,7.49,16.0,7.3,13.8,14.0,6.6,63.0,24.0,0.0,287.0,64.0,22.95,0
357,7.89,27.0,11.0,17.1,26.0,4.5,90.0,25.0,0.0,367.3,87.0,26.04,0
358,7.87,30.0,9.33,25.1,30.0,5.0,100.0,28.3,0.0,424.0,90.0,28.23,0
359,8.8,33.0,17.0,25.38,44.0,6.6,116.32,43.27,0.0,466.0,133.21,34.85,0
360,7.91,29.9,20.3,33.2,29.5,5.0,151.6,24.0,0.0,467.0,166.5,36.04,0
361,7.82,33.2,22.3,37.4,32.5,5.4,127.5,54.0,0.0,477.0,185.0,37.44,0
362,8.07,32.6,21.2,35.3,31.7,5.3,136.2,40.8,0.0,490.0,175.7,37.03,0
363,8.4,33.3,20.98,34.3,29.2,8.23,133.0,37.8,0.0,389.0,150.85,37.86,0
364,8.28,37.2,16.4,33.0,30.7,11.1,111.1,27.0,0.0,501.0,149.9,38.53,0
365,8.49,34.9,15.1,23.7,31.3,5.1,95.5,37.4,0.0,474.0,121.6,31.21,0
366,8.64,33.0,17.5,24.9,31.7,5.4,115.7,36.0,0.0,452.0,135.6,33.29,0
367,9.24,30.0,14.98,20.9,44.3,6.0,69.5,36.4,0.0,369.0,160.0,31.81,0
368,9.2,35.0,10.9,19.7,36.6,6.8,85.85,32.57,0.0,385.5,145.3,31.8,0
369,9.69,32.0,15.0,22.0,38.8,6.4,73.1,39.88,0.0,397.2,117.39,31.68,0
370,8.8,33.0,17.0,25.38,44.0,6.6,116.32,43.27,0.0,466.0,133.21,34.85,0
371,8.42,35.0,20.0,30.0,45.1,6.4,140.63,36.34,0.0,467.3,158.18,37.32,0
372,8.29,40.0,20.0,29.8,44.7,7.6,134.74,41.8,0.0,477.4,157.68,38.16,0
373,8.35,42.0,21.0,29.74,42.6,8.2,134.27,44.07,0.0,470.3,161.7,38.98,0
374,8.1,42.14,17.28,27.79,37.3,7.11,126.4,36.8,0.0,455.0,141.35,35.66,0
375,7.88,37.06,19.14,31.64,39.4,6.74,138.42,47.91,0.0,474.7,158.7,37.2,0
376,8.59,35.15,16.59,23.64,45.9,6.4,124.42,49.63,0.0,460.0,128.13,34.67,0
377,8.02,31.82,17.0,27.38,38.5,5.85,138.78,26.0,0.0,461.2,139.16,34.44,0
378,7.93,33.21,17.37,23.65,34.7,6.08,130.42,22.0,0.0,454.7,131.39,33.37,0
379,8.57,35.0,16.5,20.0,30.6,6.4,107.25,26.0,0.0,386.2,113.04,31.66,0
380,7.93,34.0,18.5,20.3,33.1,6.5,118.89,36.0,0.0,408.0,125.74,32.78,0
381,7.68,36.0,14.75,17.4,32.5,7.1,126.68,35.0,0.0,433.8,133.23,32.74,0
382,8.03,36.58,23.69,28.92,37.8,5.72,132.55,36.0,0.0,458.8,170.86,36.79,0
383,7.72,40.79,18.75,29.18,41.8,6.35,131.07,41.0,0.0,491.5,150.93,36.02,0
384,7.94,39.37,19.78,29.76,38.7,6.97,145.29,43.0,0.0,505.4,156.68,37.72,0
385,8.11,40.1,18.0,28.0,40.6,7.0,151.73,34.0,0.0,520.3,144.86,37.31,0
386,8.15,43.0,14.34,23.51,51.8,7.9,138.71,48.0,0.0,540.0,118.39,36.26,0
387,7.87,47.53,16.11,31.12,62.8,9.16,138.4,42.0,0.0,442.1,144.77,38.89,0
388,8.6,33.0,16.9,26.42,51.5,8.0,119.93,35.3,0.0,486.0,136.33,36.28,0
389,8.27,29.45,13.89,20.09,44.21,5.73,109.03,22.54,0.0,444.7,107.99,30.75,0
390,8.03,29.0,14.67,24.33,42.24,6.4,103.0,32.75,0.0,413.8,121.82,31.77,0
391,7.49,25.0,13.25,22.75,41.71,5.9,74.0,27.56,0.0,339.5,111.97,28.13,0
392,8.45,14.03,12.22,22.69,14.0,3.78,97.65,25.93,0.0,316.3,107.53,26.68,0
393,7.93,17.96,12.16,20.54,26.84,4.06,110.98,36.8,0.0,1090.8,101.92,31.47,0
394,7.91,27.1,15.15,23.76,34.23,5.82,136.62,46.28,0.0,448.4,122.42,32.89,0
395,7.95,40.94,11.34,31.31,27.69,7.89,136.49,29.75,0.0,476.0,146.66,35.72,0
396,7.89,31.99,14.56,23.39,35.75,6.54,140.33,27.22,0.0,479.4,119.04,33.41,0
397,7.84,31.4,16.16,26.24,25.19,6.38,141.55,139.47,0.0,496.7,132.79,36.14,0
398,8.06,36.63,16.91,31.24,25.0,7.72,149.88,54.45,0.0,517.2,148.39,37.75,0
399,8.59,40.4,15.3,31.37,26.14,9.0,154.68,45.15,0.0,515.5,150.8,39.26,0
400,9.16,45.2,14.85,29.94,51.74,8.3,136.56,51.83,0.0,477.0,136.56,38.66,0
401,7.66,36.0,15.7,24.93,36.64,8.2,112.54,35.1,0.0,406.0,128.91,33.85,0
402,8.84,28.0,22.59,23.64,25.0,5.6,116.55,28.11,0.0,373.8,153.11,33.98,0
403,7.69,33.3,17.74,25.08,36.47,6.9,134.2,33.87,0.0,401.8,136.48,34.32,0
404,8.95,42.41,15.53,27.53,40.6,5.35,134.04,33.97,0.0,423.2,133.4,34.78,0
405,8.71,33.5,17.89,28.65,39.17,5.9,131.96,35.21,0.0,447.2,146.03,35.52,0
406,7.91,33.7,19.0,31.26,40.27,6.3,143.26,38.57,0.0,477.0,157.2,36.71,0
407,7.98,30.5,20.2,33.91,43.42,3.9,155.75,35.04,0.0,512.8,161.3,36.27,0
408,8.06,29.98,21.77,31.53,45.95,11.0,151.88,36.3,0.0,533.6,168.64,41.95,0
409,8.2,50.51,22.63,25.1,46.39,9.21,148.82,41.6,0.0,530.3,170.8,41.05,0
410,8.21,38.75,14.92,17.11,47.1,7.89,142.2,42.93,0.0,543.8,157.41,36.57,0
411,8.75,37.9,16.82,35.38,48.91,10.0,153.03,45.67,0.0,590.8,158.34,42.07,0
412,8.04,39.74,15.58,32.58,51.74,8.06,147.8,51.86,0.0,580.3,146.21,38.99,0
413,8.77,53.43,16.71,28.18,50.67,7.86,133.89,20.24,0.0,555.0,139.94,38.25,0
414,8.23,42.01,13.59,23.76,47.42,8.61,142.95,46.46,0.0,494.4,115.92,36.43,0
415,8.5,50.0,14.0,25.0,50.0,11.0,115.0,44.0,0.0,509.6,119.0,38.02,0
416,8.59,60.61,13.94,26.74,39.5,5.48,113.59,40.28,0.0,457.5,124.8,34.05,0
417,8.18,42.5,14.96,28.81,43.41,7.06,190.38,42.92,0.0,481.2,134.22,38.55,0
418,7.97,43.3,16.38,20.89,41.37,8.0,178.26,42.34,0.0,497.5,120.38,37.44,0
419,7.94,33.9,17.75,34.09,42.9,9.3,132.8,41.9,0.0,529.0,145.5,38.72,0
420,2.41,50.4,18.12,29.99,45.84,10.6,145.6,40.05,0.0,540.4,150.32,35.69,0
421,8.11,49.5,16.52,28.92,46.86,11.5,157.78,42.94,0.0,547.5,140.99,41.64,0
422,7.89,45.2,16.93,34.69,53.35,9.05,157.35,43.74,0.0,551.8,157.09,40.86,0
423,7.96,52.7,13.94,2.2,50.85,10.5,159.31,41.42,0.0,527.5,133.35,37.01,0
424,8.34,43.7,14.95,26.94,41.02,9.42,137.7,37.66,0.0,489.0,129.51,37.65,0
425,7.71,41.0,11.0,21.8,46.0,11.0,129.0,40.0,0.0,498.6,102.0,35.81,0
426,7.89,48.0,14.0,24.6,39.0,9.0,127.0,43.0,0.0,473.8,119.0,35.8,0
427,7.55,37.8,12.0,29.0,47.0,7.0,98.0,26.0,0.0,421.7,123.0,32.13,0
428,7.33,32.3,14.0,26.0,32.0,6.0,110.0,1.2,0.0,413.8,122.0,30.48,0
429,7.64,31.0,14.0,26.0,35.0,7.0,118.0,37.0,0.0,453.8,122.0,32.79,0
430,8.09,35.0,0.18,22.0,40.0,7.0,141.0,31.0,0.0,493.0,128.0,31.88,0
431,7.42,44.0,16.0,28.0,43.0,8.0,115.0,44.0,0.0,524.8,136.0,35.58,0
432,7.69,45.0,19.0,33.0,44.0,8.5,162.0,31.0,0.0,567.0,160.0,40.29,0
433,7.95,45.0,16.0,31.0,44.0,8.6,163.0,51.0,0.0,553.0,145.0,39.7,0
434,8.01,45.0,15.03,28.0,8.98,8.8,161.0,52.0,0.0,350.0,133.0,36.78,0
435,7.87,51.0,12.91,21.0,46.0,12.4,156.0,38.0,0.0,553.3,105.0,39.3,0
436,7.82,48.0,16.28,30.0,46.0,11.6,153.0,42.0,0.0,531.3,142.0,41.15,0
437,7.93,93.0,11.0,20.2,48.0,10.8,145.0,36.0,0.0,519.6,96.0,38.68,0
438,8.02,38.0,15.0,22.4,45.0,11.2,148.0,35.0,0.0,488.6,120.0,38.15,0
439,8.08,34.0,14.0,24.7,43.0,8.6,118.0,39.0,0.0,438.2,120.0,34.53,0
440,7.59,16.0,7.4,14.7,14.0,5.8,73.0,23.0,0.0,292.2,67.0,23.12,0
441,7.73,26.0,11.0,17.7,26.0,4.2,103.0,30.0,0.0,379.5,91.0,26.56,0
442,7.79,32.0,13.0,24.4,33.0,7.1,112.0,33.0,0.0,438.5,114.0,31.95,0
443,7.95,20.6,13.8,21.1,12.8,3.1,80.6,52.0,0.0,287.0,109.6,25.66,0
444,7.62,29.9,14.8,20.3,12.5,3.6,95.4,26.0,0.0,292.0,111.8,26.52,0
445,7.8,30.0,15.0,25.0,14.0,3.3,89.8,24.8,0.0,290.0,100.0,26.47,0
446,7.53,17.1,15.2,22.9,16.7,4.5,87.5,64.7,0.0,317.0,119.9,27.77,0
447,7.47,20.1,16.2,21.9,13.3,4.3,98.8,51.4,0.0,328.0,124.0,28.11,0
448,7.46,9.7,14.9,22.6,14.0,7.6,81.9,43.0,0.0,354.0,117.9,29.03,0
449,7.43,21.6,13.3,26.6,12.9,4.2,64.2,55.5,0.0,354.0,107.8,26.25,0
450,7.32,18.8,13.9,20.9,11.2,4.0,77.1,45.1,0.0,315.0,103.8,25.3,0
451,7.37,18.8,11.0,17.1,14.0,4.0,65.1,36.3,0.0,275.0,103.8,23.52,0
452,7.55,16.3,12.0,12.6,16.3,4.4,74.6,26.3,0.0,279.0,103.8,23.86,0
453,7.3,19.0,15.0,20.0,22.0,5.4,72.03,22.52,0.0,300.5,112.4,26.31,0
454,7.59,18.0,14.0,20.48,21.0,5.2,105.44,24.3,0.0,305.3,108.23,27.68,0
455,7.6,18.0,15.33,20.67,22.7,5.4,125.83,58.04,0.0,328.3,115.45,30.04,0
456,7.68,19.0,16.4,21.0,27.5,7.1,113.31,21.85,0.0,323.6,120.73,30.74,0
457,7.49,23.0,17.67,21.03,23.6,8.3,106.89,28.61,0.0,325.5,126.07,31.77,0
458,7.3,15.94,12.86,18.19,20.0,7.04,77.81,46.79,0.0,278.0,98.97,26.92,0
459,7.29,19.21,14.13,20.21,17.7,5.42,83.05,63.03,0.0,277.0,109.29,27.08,0
460,7.19,17.83,12.53,19.0,14.7,3.82,91.13,40.35,0.0,300.0,99.6,24.97,0
461,7.31,16.09,13.29,18.25,10.8,3.27,96.8,41.0,0.0,294.0,100.91,24.79,0
462,7.14,20.05,11.26,14.52,15.4,4.08,103.23,36.0,0.0,304.0,106.42,25.17,0
463,7.35,22.0,16.5,19.5,14.9,4.2,113.63,36.0,0.0,333.8,117.4,28.05,0
464,6.88,23.0,17.5,20.5,18.3,5.4,123.29,20.0,0.0,340.8,124.06,29.36,0
465,6.69,24.0,18.0,18.5,17.7,5.6,115.26,45.0,0.0,341.0,121.16,29.21,0
466,7.74,72.95,19.62,36.24,20.0,10.29,111.78,33.0,0.0,328.0,172.16,39.58,0
467,7.95,67.9,18.6,29.2,19.9,11.0,100.8,30.3,0.0,333.0,135.2,37.41,0
468,7.57,32.66,16.67,22.49,20.9,8.68,110.67,34.0,0.0,342.4,125.55,32.83,0
469,7.71,28.3,17.0,20.0,22.4,10.0,114.57,28.0,0.0,363.6,120.73,33.6,0
470,7.49,22.0,15.78,22.8,26.7,7.2,110.55,31.0,0.0,377.2,122.65,31.24,0
471,7.29,16.38,13.94,18.82,25.3,7.99,104.68,32.0,0.0,333.0,105.04,29.52,0
472,6.81,15.3,12.09,17.75,16.7,5.5,59.93,30.3,0.0,195.3,94.66,23.29,0
473,6.84,10.93,9.29,11.28,8.52,3.73,79.1,14.48,0.0,241.6,66.86,20.22,0
474,7.02,14.0,11.75,15.25,9.98,4.0,86.0,16.03,0.0,233.3,87.01,22.62,0
475,6.63,9.0,8.75,12.75,16.82,4.2,60.0,0.71,0.0,165.5,68.27,19.14,0
476,6.72,9.4,8.82,13.63,4.35,3.63,61.14,36.06,0.0,199.0,70.79,19.51,0
477,6.86,9.44,8.36,13.63,6.7,2.77,60.15,29.78,0.0,205.1,68.87,18.79,0
478,7.26,11.34,7.46,11.35,8.39,2.67,70.63,29.81,0.0,219.6,59.4,19.06,0
479,7.33,26.94,8.3,15.58,11.11,4.35,70.78,20.65,0.0,244.3,73.45,22.25,0
480,7.12,14.15,6.23,13.72,13.21,4.13,71.38,27.88,0.0,252.7,72.76,20.95,0
481,7.1,14.39,9.9,19.07,9.68,4.01,79.86,47.31,0.0,271.4,88.82,23.38,0
482,7.25,12.84,53.51,27.92,25.0,5.0,89.79,46.41,0.0,296.5,292.61,40.41,0
483,7.32,10.0,12.5,17.51,25.0,8.3,108.38,31.8,0.0,309.8,185.0,31.52,0
484,7.12,12.1,9.92,13.59,25.0,5.98,94.45,25.77,0.0,277.9,75.26,24.49,0
485,7.2,11.0,13.79,16.53,25.0,5.2,90.15,20.77,0.0,279.6,98.71,25.42,0
486,7.33,15.0,25.43,21.73,37.0,6.6,110.28,24.11,0.0,306.6,160.18,32.87,0
487,7.58,14.3,17.44,19.89,25.0,6.6,128.59,30.45,0.0,322.0,122.32,30.92,0
488,7.56,36.06,16.45,27.84,25.0,7.27,109.19,34.56,0.0,329.0,138.02,32.89,0
489,7.66,21.8,16.24,23.21,25.0,5.5,104.89,37.33,0.0,336.0,125.58,29.91,0
490,7.41,19.3,17.0,23.07,19.23,9.2,107.03,39.62,0.0,348.7,99.2,31.72,0
491,7.71,20.9,19.0,26.17,25.0,8.3,115.11,39.13,0.0,363.3,90.5,32.48,0
492,7.54,21.0,18.7,23.88,25.0,7.2,110.78,40.24,0.0,390.0,137.43,32.54,0
493,7.57,39.71,24.3,10.0,25.0,10.27,108.73,47.97,0.0,413.5,125.9,34.91,0
494,7.49,30.32,12.39,18.71,25.31,9.23,118.22,50.8,0.0,445.0,144.92,33.75,0
495,7.62,0.0,17.01,28.92,25.11,8.95,128.46,61.62,0.0,493.5,143.03,35.21,0
496,7.5,36.07,17.03,29.11,75.38,8.69,126.06,89.91,0.0,487.0,143.57,38.48,0
497,7.5,30.58,17.54,24.68,25.0,7.65,114.61,59.22,0.0,456.0,134.66,33.96,0
498,7.24,28.4,13.73,19.33,25.0,6.99,122.52,44.03,0.0,388.6,105.45,30.61,0
499,7.95,30.0,15.1,20.5,24.8,7.0,135.2,50.5,0.0,400.0,100.0,32.33,0
500,6.88,35.3,11.1,14.7,25.0,5.0,67.6,32.6,0.0,265.2,83.0,24.0,0
501,7.01,20.34,13.07,17.55,25.0,5.0,132.7,35.56,0.0,319.0,98.22,27.9,0
502,7.17,20.34,14.28,16.93,25.0,9.0,118.51,26.7,0.0,336.7,101.72,30.62,0
503,7.27,32.0,14.9,20.3,26.89,12.5,98.62,32.76,0.0,316.86,109.89,33.83,0
504,7.23,30.8,17.9,21.51,46.68,11.1,101.49,32.22,0.0,438.6,128.25,35.29,0
505,7.09,28.3,16.38,20.4,30.23,12.2,122.06,46.11,0.0,430.0,121.02,35.89,0
506,7.09,30.1,20.47,27.08,34.52,13.1,122.0,53.55,0.0,449.0,152.56,39.53,0
507,7.09,36.3,15.96,27.63,36.95,15.3,194.0,52.39,0.0,453.3,135.44,43.56,0
508,6.77,18.4,12.54,14.84,10.65,7.0,89.94,25.68,0.0,266.0,89.28,25.57,0
509,6.25,22.0,14.0,17.0,10.0,5.0,124.0,1.6,0.0,236.0,99.0,25.48,0
510,6.29,17.0,11.0,15.0,13.0,5.0,80.0,27.0,0.0,262.5,82.0,22.68,0
511,6.8,13.0,9.0,10.0,6.7,6.0,69.0,13.0,0.0,273.5,61.0,21.24,0
512,6.43,17.0,11.0,11.0,12.0,5.0,76.0,41.0,0.0,307.8,86.0,22.74,0
513,6.41,19.0,13.0,17.0,16.0,7.0,141.0,3.3,0.0,271.6,96.0,27.91,0
514,6.21,19.0,14.0,11.0,20.0,8.0,81.0,15.0,0.0,291.0,87.0,25.38,0
515,6.87,20.0,12.0,13.0,17.0,15.0,99.0,3.6,0.0,344.0,95.4,32.28,0
516,7.26,29.0,15.0,18.0,21.0,13.0,100.0,26.0,0.0,350.8,106.0,33.62,0
517,7.38,27.0,12.0,15.3,22.0,12.0,108.0,40.0,0.0,359.5,89.0,32.19,0
518,7.25,27.0,14.0,19.4,27.0,15.2,109.0,35.0,0.0,384.2,106.0,36.11,0
519,7.06,26.0,10.0,13.6,18.0,11.8,109.0,23.0,0.0,358.3,77.0,30.37,0
520,6.85,32.0,16.0,21.1,22.0,11.2,127.0,41.0,0.0,308.7,120.0,34.3,0
521,7.0,18.0,10.0,15.0,5.0,2.7,96.0,43.0,0.0,291.4,80.0,22.34,0
522,6.68,19.0,11.0,12.7,6.9,3.5,91.0,54.0,0.0,309.8,77.0,22.63,0
523,6.66,14.0,24.0,49.7,17.0,1.6,208.0,15.0,0.0,307.0,224.0,37.15,0
524,7.17,17.3,11.0,50.0,21.8,5.9,180.3,18.9,0.0,2.1,195.0,35.16,0
525,6.96,24.0,12.0,2.0,23.0,6.8,95.0,31.0,0.0,315.3,84.0,25.0,0
526,6.99,27.0,9.9,14.4,26.0,8.6,71.0,39.0,0.0,306.0,77.0,26.53,0
